Utility Characteristics,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Facility Number,Facility Name,Utility Number,Utility Name,STATE,BA Code,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2015,59371,12 Applegate Solar LLC,58258,SunRay Power LLC,NJ,PJM,0.0,0,0,160.0,"2,430",1,0.0,0,0,0.0,0,0,160.0,"2,430",1
2015,57458,145 Talmadge Solar,56777,Avidan Energy Solutions,NJ,PJM,0.0,0,0,0.0,0,0,549.0,"4,802",1,0.0,0,0,549.0,"4,802",1
2015,58187,180 Raritan Solar,58164,"180 Raritan Energy Solutions, LLC",NJ,PJM,0.0,0,0,0.0,0,0,283.0,"2,526",1,0.0,0,0,283.0,"2,526",1
2015,59365,24 Applegate Solar LLC,58258,SunRay Power LLC,NJ,PJM,0.0,0,0,147.0,"1,742",1,0.0,0,0,0.0,0,0,147.0,"1,742",1
2015,59485,"265 Pleasant Solar NG, LLC",59254,NuGen Capital Management,MA,ISNE,0.0,0,0,245.0,"1,479",1,0.0,0,0,0.0,0,0,245.0,"1,479",1
2015,59370,4 Applegate Solar LLC,58258,SunRay Power LLC,NJ,PJM,0.0,0,0,144.0,"2,159",1,0.0,0,0,0.0,0,0,144.0,"2,159",1
2015,57640,500 Virginia Solar,56971,"500 Virginia Solar, LP",PA,PJM,0.0,0,0,84.0,"1,103",1,0.0,0,0,0.0,0,0,84.0,"1,103",1
2015,59046,651 Chase Solar NG,58879,651 Chase Solar NG LLC,MA,ISNE,0.0,0,0,709.0,"4,226",1,0.0,0,0,0.0,0,0,709.0,"4,226",1
2015,58798,"AC Criminal Courts Complex SPE2, LLC",58661,"Sustainable Power Group, LLC",NJ,PJM,0.0,0,0,197.0,"2,328",1,0.0,0,0,0.0,0,0,197.0,"2,328",1
2015,59543,Acton Solar Landfill,59286,Heliovaas LLC,MA,ISNE,0.0,0,0,211.0,"2,022",1,0.0,0,0,0.0,0,0,211.0,"2,022",1
2015,59850,Adams Community Solar Garden III LLC,59652,Adams Community Solar Garden III LLC,CO,PSCO,0.0,0,0,77.0,669,3,0.0,0,0,0.0,0,0,77.0,669,3
2015,59849,Adams Community Solar Garden LLC,59651,Adams Community Solar Garden LLC,CO,PSCO,0.0,0,0,82.0,694,4,0.0,0,0,0.0,0,0,82.0,694,4
2015,59331,Anheuser-Busch #2,59129,"Foundation CA Fund VII Manager, LLC",CA,CISO,0.0,0,0,0.0,0,0,300.0,"2,463",1,0.0,0,0,300.0,"2,463",1
2015,59489,Anthony Wayne Solar #1,59244,GEM Energy LLC,OH,PJM,0.0,0,0,159.0,"2,294",1,0.0,0,0,0.0,0,0,159.0,"2,294",1
2015,57765,Arizona Western College PV,58863,Main Street Power,AZ,AZPS,0.0,0,0,662.0,"9,960",1,0.0,0,0,0.0,0,0,662.0,"9,960",1
2015,55990,Ashtabula,58115,"DTE Ashtabula, LLC",OH,PJM,0.0,0,0,"4,165.0","143,804",1,0.0,0,0,0.0,0,0,"4,165.0","143,804",1
2015,56900,Atlantic City Convention Center,14405,Power Choice/Pepco Energy Serv,NJ,PJM,0.0,0,0,412.0,"2,982",1,0.0,0,0,0.0,0,0,412.0,"2,982",1
2015,58360,Atlantic Coast Freezers Solar Facility,57411,KDC Solar O&M LLC,NJ,PJM,0.0,0,0,237.0,"3,384",1,0.0,0,0,0.0,0,0,237.0,"3,384",1
2015,60067,BWC Swan Pond River,59805,"BWC Swan Pond River, LLC",MA,ISNE,0.0,0,0,3.0,29,2,0.0,0,0,0.0,0,0,3.0,29,2
2015,59766,Barre II Solar Project,59232,Kearsarge Solar LLC,MA,ISNE,0.0,0,0,343.0,"2,452",2,0.0,0,0,0.0,0,0,343.0,"2,452",2
2015,10298,Bayou Cogen Plant,327,Air Liquide Large Industries U S LP,TX,ERCO,0.0,0,0,0.0,0,0,"6,996.0","242,018",1,0.0,0,0,"6,996.0","242,018",1
2015,55327,Baytown Energy Center,2838,Baytown Energy Center LLC,TX,ERCO,0.0,0,0,0.0,0,0,"46,092.0","1,686,078",1,0.0,0,0,"46,092.0","1,686,078",1
2015,58403,Bellingham PV,57081,"WGL Energy Systems, Inc",MA,ISNE,0.0,0,0,444.0,"4,497",1,0.0,0,0,0.0,0,0,444.0,"4,497",1
2015,57733,Benjamin Moore & Co. Solar,57044,"Constellation Solar New Jersey, LLC",NJ,PJM,0.0,0,0,0.0,0,0,67.0,"2,087",1,0.0,0,0,67.0,"2,087",1
2015,58624,Berkshire 1,58578,PPS Berkshire Solar LLC,MA,ISNE,0.0,0,0,277.0,"2,572",2,0.0,0,0,0.0,0,0,277.0,"2,572",2
2015,59097,Berry Plastics Solar,58928,Berry Plastics Solar,NJ,PJM,0.0,0,0,"1,230.0","16,914",1,0.0,0,0,0.0,0,0,"1,230.0","16,914",1
2015,56862,Bolthouse S&P and Rowen Farms Solar,56105,MMA WBF Power LP,CA,CISO,0.0,0,0,222.0,"2,259",1,0.0,0,0,0.0,0,0,222.0,"2,259",1
2015,58327,Bradley Energy Center,58300,Ameresco Select Inc,CT,ISNE,0.0,0,0,"2,571.0","16,457",1,0.0,0,0,0.0,0,0,"2,571.0","16,457",1
2015,59361,Browne Solar LLC,58258,SunRay Power LLC,MA,ISNE,0.0,0,0,262.0,"1,607",1,0.0,0,0,0.0,0,0,262.0,"1,607",1
2015,58037,Buckeye Union HS District 201,57408,Constellation Solar Arizona LLC,AZ,AZPS,0.0,0,0,756.0,"7,010",1,0.0,0,0,0.0,0,0,756.0,"7,010",1
2015,58618,Butler Plaza,58570,CF Gainesville Owner One LLC,FL,GVL,0.0,0,0,657.0,"2,052",1,0.0,0,0,0.0,0,0,657.0,"2,052",1
2015,52147,C P Kelco San Diego Plant,3221,CPKelco U S Inc,CA,CISO,0.0,0,0,0.0,0,0,4.0,72,1,0.0,0,0,4.0,72,1
2015,60036,CCBC-Catonsville,58491,"Constellation Solar Holding, LLC",MD,PJM,0.0,0,0,31.0,470,1,0.0,0,0,0.0,0,0,31.0,470,1
2015,59248,CCMUA,59063,"Camden Solar Center, LLC",NJ,PJM,0.0,0,0,0.0,0,0,116.0,"2,403",1,0.0,0,0,116.0,"2,403",1
