Utility Characteristics,,,,IEEE Standard,,,,,,,,,Other Standard,,,,,,,,
Data Year,Utility Number,Utility Name,State,SAIDI With MED,SAIDI Without MED,SAIDI With MED Minus LOS,SAIFI With MED,SAIFI Without MED,SAIFI With MED Minus LOS,Number of Customers,Highest Dist. Voltage,Outages Recorded Automatically,SAIDI With MED,SAIDI Without MED,SAIFI With MED,SAIFI Without MED,Number of Customers,Inactive Accounts Included,Momentary Interruptions,Highest Dist. Voltage,Outages Recorded Automatically
2014,97,Adams Electric Coop,IL,217.800,143.400,106.200,2.473,1.805,0.989,"8,751",34.5,Y,.,.,.,.,.,,,.,
2014,108,Adams-Columbia Electric Coop,WI,104.083,63.179,88.874,0.838,0.667,0.585,"36,152",12.5,Y,.,.,.,.,.,,,.,
2014,150,Adrian Public Utilities Comm,MN,.,.,.,.,.,.,.,.,N,.,.,.,.,.,,,.,N
2014,155,Agralite Electric Coop,MN,63.300,63.300,61.142,0.700,0.700,0.610,"5,177",12.0,N,.,.,.,.,.,,,.,
2014,162,Aiken Electric Coop Inc,SC,.,.,.,.,.,.,.,.,,"2,679.000",77.000,.,.,"46,022",N,L,25.0,N
2014,195,Alabama Power Co,AL,.,.,.,.,.,.,.,.,,194.300,117.900,1.334,1.036,"1,450,784",N,F,35.0,Y
2014,207,City of Alameda,CA,15.840,15.840,15.840,0.072,0.072,0.072,"34,626",12.0,N,.,.,.,.,.,,,.,
2014,213,Alaska Electric Light&Power Co,AK,.,.,.,.,.,.,.,.,,173.000,.,.,.,"16,162",N,O,12.5,N
2014,232,City of Albemarle - (NC),NC,.,.,.,.,.,.,.,.,,50.000,0.000,0.510,0.000,"12,500",N,L,14.4,N
2014,240,Albemarle Electric Member Corp,NC,.,.,.,.,.,.,.,.,,16.000,2.000,2.200,0.950,"12,645",N,F,12.5,Y
2014,241,Albertville Municipal Utilities Board,AL,.,.,.,.,.,.,.,.,,.,.,.,.,.,,,.,
2014,276,Alcorn County Elec Power Assn,MS,.,.,.,.,.,.,.,.,,0.615,.,0.650,.,"18,879",N,,13.1,N
2014,295,City of Alexandria - (MN),MN,.,.,.,.,.,.,.,.,,29.000,.,0.431,.,"9,529",N,L,13.2,N
2014,296,"Alfalfa Electric Coop, Inc",KS,.,.,.,.,.,.,.,.,,45.000,45.000,0.231,0.231,957,N,O,14.4,Y
2014,296,"Alfalfa Electric Coop, Inc",OK,.,.,.,.,.,.,.,.,,45.000,45.000,0.231,0.231,"7,615",N,O,14.4,Y
2014,305,Alger-Delta Coop Electric Assn,MI,750.600,476.200,483.800,1.670,1.440,1.110,"9,954",34.5,Y,.,.,.,.,.,,,.,
2014,329,"Allamakee-Clayton El Coop, Inc",IA,97.110,97.110,97.110,0.678,0.678,0.678,"9,014",12.5,Y,.,.,.,.,.,,,.,
2014,392,Alpena Power Co,MI,.,.,.,.,.,.,.,.,,146.000,64.000,1.000,0.600,"16,360",N,L,13.2,N
2014,407,Altamaha Electric Member Corp,GA,.,.,.,.,.,.,.,.,,220.200,50.500,1.840,0.900,"20,122",N,L,25.0,N
2014,554,City of Ames - (IA),IA,63.550,63.550,63.550,0.520,0.520,0.520,"24,976",13.8,Y,.,.,.,.,.,,,.,
2014,562,Amicalola Electric Member Corp,GA,549.700,355.600,533.300,3.100,2.600,3.100,"46,730",25.0,N,.,.,.,.,.,,,.,
2014,571,City of Amory,MS,.,.,.,.,.,.,.,.,,.,.,.,.,.,,,.,
2014,577,City of Alcoa Utilities,TN,.,.,.,.,.,.,.,.,,.,.,.,.,.,,,.,
2014,590,City of Anaheim - (CA),CA,48.500,48.500,48.500,0.800,0.800,0.800,"115,666",12.0,Y,.,.,.,.,.,,,.,
