Utility Characteristics,,,,IEEE Standard,,,,,,,,,Other Standard,,,,,,,,
Data Year,Utility Number,Utility Name,State,SAIDI With MED,SAIDI Without MED,SAIDI With MED Minus LOS,SAIFI With MED,SAIFI Without MED,SAIFI With MED Minus LOS,Number of Customers,Highest Dist. Voltage,Outages Recorded Automatically,SAIDI With MED,SAIDI Without MED,SAIFI With MED,SAIFI Without MED,Number of Customers,Inactive Accounts Included,Momentary Interruptions,Highest Dist. Voltage,Outages Recorded Automatically
2013,97,Adams Electric Coop,IL,223.000,158.000,191.000,1.810,1.350,1.390,"8,715",34.5,N,.,.,.,.,.,,,.,
2013,108,Adams-Columbia Electric Coop,WI,143.000,58.000,139.000,1.093,0.691,1.028,"36,014",12.0,Y,.,.,.,.,.,,,.,
2013,155,Agralite Electric Coop,MN,"1,142.000",141.000,"1,134.000",3.000,1.000,2.000,"5,122",12.0,N,.,.,.,.,.,,,.,
2013,162,Aiken Electric Coop Inc,SC,.,.,.,.,.,.,.,.,,140.000,140.000,.,.,"45,948",N,L,25.0,N
2013,195,Alabama Power Co,AL,.,.,.,.,.,.,.,.,,238.000,115.000,1.330,1.140,"1,444,270",N,F,35.0,Y
2013,207,City of Alameda,CA,7.000,7.000,7.000,0.000,0.000,0.000,"34,347",12.0,N,.,.,.,.,.,,,.,
2013,213,Alaska Electric Light&Power Co,AK,.,.,.,.,.,.,.,.,,249.000,105.000,.,.,"15,884",N,O,12.5,N
2013,232,City of Albemarle - (NC),NC,.,.,.,.,.,.,.,.,,89.000,89.000,1.000,1.000,"12,500",N,L,14.4,N
2013,240,Albemarle Electric Member Corp,NC,.,.,.,.,.,.,.,.,,2.000,2.000,1.000,1.000,"12,645",N,F,12.5,N
2013,276,Alcorn County Elec Power Assn,MS,41.340,0.000,0.000,0.666,0.000,0.000,"19,077",13.1,N,.,.,.,.,.,,,.,
2013,295,City of Alexandria - (MN),MN,.,.,.,.,.,.,.,.,,32.000,.,0.296,.,"9,529",N,L,13.2,N
2013,296,"Alfalfa Electric Coop, Inc",OK,.,.,.,.,.,.,.,.,,312.000,51.000,0.279,0.218,"7,570",N,O,14.4,Y
2013,305,Alger-Delta Coop Electric Assn,MI,52.850,51.740,46.950,0.277,.,.,"9,968",34.5,Y,.,.,.,.,.,,,.,
2013,329,"Allamakee-Clayton El Coop, Inc",IA,97.000,97.000,69.000,0.078,0.078,0.049,"8,999",12.5,Y,.,.,.,.,.,,,.,
2013,407,Altamaha Electric Member Corp,GA,91.000,35.000,56.000,.,.,.,"24,983",25.0,N,.,.,.,.,.,,,.,
2013,416,City of Altus - (OK),OK,85.000,58.000,58.000,49.702,7.050,7.050,"9,385",13.2,N,.,.,.,.,.,,,.,
2013,554,City of Ames - (IA),IA,23.000,23.000,23.000,1.000,1.000,1.000,"24,665",13.8,N,.,.,.,.,.,,,.,
2013,562,Amicalola Electric Member Corp,GA,389.000,333.000,389.000,2.380,2.170,2.370,"45,430",25.0,N,.,.,.,.,.,,,.,
2013,590,City of Anaheim - (CA),CA,53.000,53.000,53.000,0.680,0.680,0.680,"115,577",12.0,Y,.,.,.,.,.,,,.,
2013,599,Anchorage Municipal Light and Power,AK,48.000,48.000,0.000,0.587,0.587,0.000,"30,832",35.0,N,.,.,.,.,.,,,.,
2013,636,City of Anderson - (IN),IN,246.964,.,246.964,1.559,.,1.559,"35,429",13.2,Y,.,.,.,.,.,,,.,
2013,689,Connexus Energy,MN,56.772,30.729,56.409,0.559,0.425,0.534,"127,554",12.5,Y,.,.,.,.,.,,,.,
2013,691,City of Anoka,MN,.,.,.,.,.,.,.,.,,40.000,31.000,2.464,0.779,"11,753",N,F,12.5,N
2013,694,Anza Electric Coop Inc,CA,.,.,.,.,.,.,.,.,,392.000,23.000,.,.,"4,471",N,F,12.0,N
2013,727,Appalachian Electric Coop,TN,.,.,.,.,.,.,.,.,,341.000,145.000,2.040,0.000,"45,044",N,O,13.2,N
2013,733,Appalachian Power Co,VA,"1,106.000",331.000,"1,049.000",2.000,2.000,2.000,"523,717",35.0,Y,.,.,.,.,.,,,.,
2013,733,Appalachian Power Co,WV,702.000,596.000,656.000,3.000,2.000,2.000,"433,660",35.0,Y,.,.,.,.,.,,,.,
2013,803,Arizona Public Service Co,AZ,78.000,71.000,74.000,0.800,0.780,0.730,"1,147,711",69.0,N,.,.,.,.,.,,,.,
2013,814,Entergy Arkansas Inc,AR,.,253.700,338.000,.,1.686,1.881,"708,246",34.5,Y,.,.,.,.,.,,,.,
2013,963,Atlantic City Electric Co,NJ,161.000,135.000,143.000,1.580,1.450,1.370,"537,622",69.0,Y,.,.,.,.,.,,,.,
2013,993,Auburn Board of Public Works,NE,.,.,.,.,.,.,.,.,,18.000,.,48.000,.,"2,772",Y,L,12.5,N
2013,1009,City of Austin - (MN),MN,5.000,.,.,0.080,.,.,"12,432",13.8,N,.,.,.,.,.,,,.,
2013,1015,Austin Energy,TX,86.250,46.290,86.250,0.770,0.550,0.770,"432,000",35.0,Y,.,.,.,.,.,,,.,
2013,1050,City of Azusa,CA,.,54.899,.,.,0.496,.,"16,169",12.0,N,.,.,.,.,.,,,.,
2013,1062,BARC Electric Coop Inc,VA,.,.,.,.,.,.,.,.,,.,118.000,.,674.000,"12,644",N,L,25.0,N
2013,1149,Baldwin County El Member Corp,AL,1.000,1.000,1.000,1.035,0.950,0.895,"68,655",12.5,Y,.,.,.,.,.,,,.,
2013,1167,Baltimore Gas & Electric Co,MD,84.000,84.000,84.000,0.870,0.870,0.860,"1,241,126",34.5,Y,.,.,.,.,.,,,.,
2013,1175,"Bandera Electric Coop, Inc",TX,.,.,.,.,.,.,.,.,,59.000,.,0.661,.,"33,005",N,O,24.0,Y
2013,1179,Emera Maine,ME,41.380,6.680,36.000,4.930,2.780,3.540,"120,089",35.0,Y,.,.,.,.,.,,,.,
2013,1181,City of Bangor - (WI),WI,69.000,.,.,1.000,.,.,"1,875",12.5,N,.,.,.,.,.,,,.,
2013,1233,City of Barnesville - (MN),MN,.,.,.,.,.,.,.,.,,25.000,25.000,0.000,0.000,"1,300",Y,F,2.4,N
2013,1251,Barron Electric Coop,WI,5.000,2.000,5.000,2.437,1.120,2.370,"18,030",12.5,Y,.,.,.,.,.,,,.,
2013,1273,"Bartlett Electric Coop, Inc",TX,80.000,25.000,74.000,0.048,0.036,0.048,"10,799",24.9,N,.,.,.,.,.,,,.,
2013,1300,City of Bartow - (FL),FL,.,.,.,.,.,.,.,.,,15.000,15.000,0.159,0.159,"11,237",N,L,69.0,N
2013,1325,City of Batavia - (IL),IL,129.000,20.000,129.000,2.000,0.000,2.000,"10,866",34.5,N,.,.,.,.,.,,,.,
2013,1458,"Beauregard Electric Coop, Inc",LA,.,.,.,.,.,.,.,.,,2.000,2.000,4.000,4.000,"40,878",N,F,14.4,Y
2013,1529,"Beltrami Electric Coop, Inc",MN,174.000,138.000,145.000,2.000,2.000,1.000,"20,013",7.0,N,.,.,.,.,.,,,.,
2013,1579,PUD No 1 of Benton County,WA,75.000,33.000,.,1.000,.,.,"48,128",15.0,Y,.,.,.,.,.,,,.,
2013,1591,"Big Country Electric Coop, Inc",TX,.,.,.,.,.,.,.,.,,588.000,312.000,0.000,0.000,"12,765",N,L,35.0,Y
2013,1613,Berkeley Electric Coop Inc,SC,138.000,138.000,138.000,1.700,1.700,1.700,"86,126",25.0,Y,.,.,.,.,.,,,.,
2013,1625,Benton Rural Electric Assn,WA,.,.,.,.,.,.,.,.,,132.000,0.000,1.240,0.000,"15,432",N,L,34.5,N
2013,1675,Big Horn Rural Electric Co,WY,152.000,.,.,0.800,.,.,"3,422",7.2,N,.,.,.,.,.,,,.,
2013,1708,Big Sandy Rural Elec Coop Corp,KY,369.000,129.000,124.000,3.000,2.000,2.000,.,7.6,N,.,.,.,.,.,,,.,
