Utility Characteristics,,,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,SERVICE_TYPE,"Data Type
O = Observed
I = Imputed",State,Ownership,BA_CODE,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2014,55,City of Aberdeen - (MS),A,Bundled,O,MS,Municipal,TVA,"4,096.0","37,090","2,629","4,226.0","37,978",679,"6,430.0","115,634",2,0.0,0,0,"14,752.0","190,702","3,310"
2014,59,City of Abbeville - (LA),A,Bundled,O,LA,Municipal,MISO,"5,878.0","56,496","4,585","4,404.0","39,148","1,029","3,506.0","39,510",27,0.0,0,0,"13,788.0","135,154","5,641"
2014,84,A & N Electric Coop,A,Bundled,O,MD,Cooperative,PJM,269.2,"2,238",269,69.2,544,44,.,.,.,.,.,.,338.4,"2,782",313
2014,84,A & N Electric Coop,A,Bundled,O,VA,Cooperative,PJM,"41,418.2","353,002","30,758","17,742.7","161,534","3,933","15,226.8","170,770",8,.,.,.,"74,387.7","685,306","34,699"
2014,97,Adams Electric Coop,A,Bundled,O,IL,Cooperative,MISO,"16,685.0","118,512","8,433","5,158.0","50,633",207,.,.,.,.,.,.,"21,843.0","169,145","8,640"
2014,108,Adams-Columbia Electric Coop,A,Bundled,O,WI,Cooperative,MISO,"44,978.0","289,341","33,682","8,872.0","71,427","1,890","14,100.0","156,876",853,.,.,.,"67,950.0","517,644","36,425"
2014,113,"Agway Energy Services, LLC",B,Energy,O,NY,Retail Power Marketer,NYIS,"34,638.0","292,261","37,921","18,798.0","176,989","8,441",0.0,0,0,0.0,0,0,"53,436.0","469,250","46,362"
2014,118,"Adams Rural Electric Coop, Inc",A,Bundled,O,OH,Cooperative,PJM,"13,704.0","100,111","7,360","1,683.0","14,419",57,.,.,.,.,.,.,"15,387.0","114,530","7,417"
2014,122,Village of Arcade - (NY),A,Bundled,O,NY,Municipal,NYIS,"4,809.0","77,898","3,605","2,355.0","44,453",570,"1,901.0","38,581",15,.,.,.,"9,065.0","160,932","4,190"
2014,123,City of Adel- (GA),A,Bundled,O,GA,Municipal,SOCO,"3,646.0","26,723","1,980","4,521.0","32,850",527,"4,343.0","52,178",15,.,.,.,"12,510.0","111,751","2,522"
2014,150,Adrian Public Utilities Comm,A,Bundled,O,MN,Municipal,WAUE,751.5,"6,854",526,659.6,"6,046",114,78.7,632,2,0.0,0,0,"1,489.8","13,532",642
2014,155,Agralite Electric Coop,A,Bundled,O,MN,Cooperative,MISO,"10,018.0","90,591","4,357","5,240.0","76,460",249,"5,312.0","67,203",551,.,.,.,"20,570.0","234,254","5,157"
2014,162,Aiken Electric Coop Inc,A,Bundled,O,SC,Cooperative,SC,"83,183.0","620,625","43,171","15,235.0","130,677","2,814","13,595.0","192,420",15,.,.,.,"112,013.0","943,722","46,000"
2014,176,Ajo Improvement Co,A,Bundled,O,AZ,Investor Owned,AZPS,485.7,"5,076",822,298.0,"4,679",202,124.8,"1,453",1,.,.,.,908.5,"11,208","1,025"
2014,195,Alabama Power Co,A,Bundled,O,AL,Investor Owned,SOCO,"2,208,880.0","18,726,485","1,247,061","1,560,558.0","14,329,217","197,828","1,479,904.0","23,799,049","6,032",.,.,.,"5,249,342.0","56,854,751","1,450,921"
2014,201,City of Alachua - (FL),A,Bundled,O,FL,Municipal,FPC,"5,294.0","41,430","3,671","8,759.0","75,019",752,.,.,.,.,.,.,"14,053.0","116,449","4,423"
2014,207,City of Alameda,A,Bundled,O,CA,Municipal,CISO,"18,797.7","127,528","30,336","31,881.9","220,476","4,073",.,.,.,.,.,.,"50,679.6","348,004","34,409"
2014,213,Alaska Electric Light&Power Co,A,Bundled,O,AK,Investor Owned,NA,"16,728.0","141,151","14,115","12,449.0","125,452","2,253","12,514.0","132,889",96,.,.,.,"41,691.0","399,492","16,464"
2014,219,Alaska Power and Telephone Co,A,Bundled,O,AK,Investor Owned,NA,"7,301.0","24,116","5,328","10,341.0","38,952","2,302",0.0,0,0,0.0,0,0,"17,642.0","63,068","7,630"
2014,221,"Alaska Village Elec Coop, Inc",A,Bundled,O,AK,Cooperative,NA,"21,188.0","35,665","7,869","32,334.0","62,209","2,960",.,.,.,.,.,.,"53,522.0","97,874","10,829"
2014,230,Albany Water Gas & Light Comm,A,Bundled,O,GA,Municipal,SOCO,"39,036.4","387,819","31,475","56,603.6","579,829","5,618",.,.,.,.,.,.,"95,640.0","967,648","37,093"
2014,232,City of Albemarle - (NC),A,Bundled,O,NC,Municipal,DUK,"17,096.0","129,279","9,791","14,091.0","129,124","2,081","2,977.0","34,425",15,.,.,.,"34,164.0","292,828","11,887"
