Utility Characteristics,,,,IEEE Standard,,,,,,,,,Other Standard,,,,,,,,
Data Year,Utility Number,Utility Name,State,SAIDI With MED,SAIDI Without MED,SAIDI With MED Minus LOS,SAIFI With MED,SAIFI Without MED,SAIFI With MED Minus LOS,Number of Customers,Highest Dist. Voltage,Outages Recorded Automatically,SAIDI With MED,SAIDI Without MED,SAIFI With MED,SAIFI Without MED,Number of Customers,Inactive Accounts Included,Momentary Interruptions,Highest Dist. Voltage,Outages Recorded Automatically
2015,1273,"Bartlett Electric Coop, Inc",TX,200.150,169.820,70.620,1.222,0.820,0.798,"11,330",24.9,N, , , , , ,,, ,
2015,1283,Bartholomew County Rural E M C,IN,488.860,235.400,488.860,2.960,2.070,2.960,"11,296",12.0,Y, , , , , ,,, ,
2015,1300,City of Bartow - (FL),FL, , , , , , , , ,,17.613,17.613,0.164,0.164,"11,659",N,L, ,N
2015,1456,Town of Bedford - (VA),VA,161.237,161.237,161.237,1.050,1.050,1.050,"6,649",69.0,N, , , , , ,,, ,
2015,1458,"Beauregard Electric Coop, Inc",LA, , , , , , , , ,,7.760,3.050,4.780,1.790,"41,757",N,F,24.9,Y
2015,1529,"Beltrami Electric Coop, Inc",MN,113.954,113.954,0.000,1.647,1.647,0.000,"20,117",12.5,Y, , , , , ,,, ,
2015,1579,PUD No 1 of Benton County,WA,36.500,36.500, ,0.270,0.270, ,"50,297",15.0,Y, , , , , ,,, ,
2015,1591,"Big Country Electric Coop, Inc",TX, , , , , , , , ,,"1,146.000", , , ,"12,912",N,L,69.0,Y
2015,1613,Berkeley Electric Coop Inc,SC,210.810,145.540,209.200,2.110,1.720,2.040,"89,741",24.9,Y, , , , , ,,, ,
2015,1625,Benton Rural Electric Assn,WA, , , , , , , , ,,141.530, ,0.812, ,"15,813",N,L,34.5,N
2015,1675,Big Horn Rural Electric Co,WY,203.370, , ,1.300, , ,"3,707",7.2,N, , , , , ,,, ,
2015,1708,Big Sandy Rural Elec Coop Corp,KY,"1,542.000",284.200,"1,542.000",3.880,2.580,2.580,"13,000",7.6,Y, , , , , ,,, ,
2015,1723,"Big Bend Electric Coop, Inc",WA, , , , , , , , ,,170.500,137.800,1.000,0.800,"8,885",N,O,24.9,N
2015,1763,"Black River Electric Coop, Inc - (SC)",SC, , , , , , , , ,,65.800,65.800,0.480,0.480,"31,911",N,L,12.5,N
2015,1769,"Black Hills Electric Coop, Inc",SD,95.550,95.550,94.520,0.500,0.500,0.490,"9,592",7.2,N, , , , , ,,, ,
2015,1775,Black River Electric Coop - (MO),MO,461.300,358.460, , , , ,"24,075",14.4,N, , , , , ,,, ,
2015,1886,Blue Grass Energy Coop Corp,KY,183.830,143.380,176.840,1.360,1.220,1.280,"56,312",25.0,Y, , , , , ,,, ,
2015,1889,Blue Ridge Elec Member Corp - (NC),NC,81.600,81.600,81.600,1.190,1.190,1.190,"73,944",15.0,Y, , , , , ,,, ,
2015,1890,Blue Ridge Electric Coop Inc - (SC),SC,377.500,113.090,368.510, , , ,"64,194",7.2,N, , , , , ,,, ,
2015,1891,Blue Ridge Mountain EMC - (GA),GA, , , , , , , , ,, , , , , ,N,F, ,Y
2015,1891,Blue Ridge Mountain EMC - (GA),NC, , , , , , , , ,, , , , , ,N,F, ,Y
2015,1892,"Bluebonnet Electric Coop, Inc",TX, , , , , , , , ,,4.980,4.980,1.820,1.820,"88,534",N,L,24.9,Y
2015,1898,"Bon Homme Yankton El Assn, Inc",SD,34.220, , ,0.040, , ,"3,685",12.5,Y, , , , , ,,, ,
2015,1936,Bolivar Energy Authority,TN,114.816,53.924,114.816,1.060,0.500,1.060,"11,144",12.5,N, , , , , ,,, ,
2015,2001,Boone Electric Coop,MO,68.410,68.410,68.410,0.750,0.750,0.750,"31,133",13.2,N, , , , , ,,, ,
2015,2049,"Bowie-Cass Electric Coop, Inc",TX, , , , , , , , ,,"1,128.000",386.400, , ,"36,105",N,O,12.5,Y
2015,2054,City of Bowling Green - (OH),OH,29.085,27.292, ,0.300,0.200, ,"14,660",12.5,N, , , , , ,,, ,
2015,2056,City of Bowling Green - (KY),KY, , , , , , , , ,,53.350,53.350,0.950,0.950,"29,158",N,L,12.5,N
2015,2089,Bozrah Light & Power Company,CT,724.490,291.260,724.490,4.280,2.520,4.280,"2,663",13.8,N, , , , , ,,, ,
2015,2144,Town of Braintree - (MA),MA, , , , , , , , ,,2.660, ,0.058, ,"16,420",N,F,13.8,Y
2015,2212,"Broad River Electric Coop, Inc",SC, , , , , , , , ,,2.000,2.000, , ,"20,707",N,F,12.5,Y
2015,2215,"Bridger Valley Elec Assn, Inc",WY, , , , , , , , ,,310.150, , , ,"4,638",N,L,25.0,Y
2015,2247,City of Bristol - (TN),TN,34.679,32.185,34.679,0.474,0.474,0.474,"33,061",69.0,N, , , , , ,,, ,
2015,2248,Bristol Virginia Utilities,VA,0.369,0.231,0.369,0.005,0.003,0.005,"16,622",13.2,Y, , , , , ,,, ,
2015,2316,Brown County Rural Elec Assn,MN, , , , , , , , ,,32.500,32.500,0.640,0.640,"4,450",N,,12.0,N
2015,2409,Brownsville Public Utilities Board,TX, , , , , , , , ,,11.130, ,0.120, ,"47,600",Y,L,12.5,N
2015,2439,City of Bryan - (OH),OH,15.220,15.220, ,0.647,0.647, ,"5,795",12.4,N, , , , , ,,, ,
2015,2442,City of Bryan - (TX),TX, , , , , , , , ,, ,19.600, ,0.310,"53,910",N,F,12.5,Y
2015,2485,City of Buffalo - (MN),MN, , , , , , , , ,,9.103, ,0.074, ,"5,893",,, ,
2015,2502,"Buckeye Rural Elec Coop, Inc",OH, , , , , , , , ,,"1,404.000",410.000,4.200,3.200,"18,652",N,L,12.5,N
2015,2507,City of Burbank Water and Power,CA, , , , , , , , ,,4.789,4.789,0.173,0.173,"52,500",N,L,34.5,N
2015,2548,City of Burlington Electric - (VT),VT, , , , , , , , ,, , ,0.400, ,"20,592",N,F,13.8,N
2015,2641,"Butler Rural El Coop Assn, Inc - (KS)",KS,545.000,135.000,491.000,106.000,73.000,82.000,"7,243",12.5,Y, , , , , ,,, ,
2015,2651,Butler Rural Electric Coop Inc - (OH),OH,144.700,94.010,65.840,2.080,1.180,0.830,"11,230",12.0,Y, , , , , ,,, ,
2015,2652,Butler County Rural Elec Coop - (IA),IA, , , , , , , , ,,67.649,34.646,0.678,0.308,"5,083",N,F,12.5,N
2015,2655,"Butte Electric Coop, Inc",SD, , , , , , , , ,,82.900,50.300,0.030,0.028,"5,615",N,L,15.0,N
2015,2812,City of Calhoun - (GA),GA, , , , , , , , ,,52.079,14.432,0.600,0.200,"5,392",Y,F,7.2,N
2015,2849,Central Electric Power Assn - (MS),MS, , , , , , , , ,,4.818,3.798, , ,"35,827",N,L,24.9,N
2015,2911,"Canadian Valley Elec Coop, Inc",OK,161.000, , ,0.600, , ,"24,707",24.9,Y, , , , , ,,, ,
2015,2955,Canby Utility Board,OR, , , , , , , , ,,22.000,22.000,0.250,0.250,"6,862",N,F,12.5,N
2015,2960,"Caney Fork Electric Coop, Inc",TN, , , , , , , , ,,647.400,157.800, , ,"32,071",N,L,26.0,N
2015,2961,"Caney Valley El Coop Assn, Inc",KS, , , , , , , , ,,13.150,2.810,4.330,2.850,"5,495",N,F,7.2,N
2015,2982,Cape Hatteras Elec Member Corp,NC, , , , , , , , ,,503.110,503.110,0.017,0.017,"7,649",N,F,12.0,N
2015,2985,"Capital Electric Coop, Inc",ND, , , , , , , , ,,49.500,49.500, , ,"19,066",N,F,7.2,Y
2015,2998,"Carbon Power & Light, Inc",WY,361.400,361.400,146.900,4.220,4.220,2.380,"6,355",25.0,Y, , , , , ,,, ,
2015,3046,Duke Energy Progress - (NC),NC,275.000,141.000,262.000,1.720,1.410,1.600,"1,333,003",35.0,Y, , , , , ,,, ,
2015,3046,Duke Energy Progress - (NC),SC,297.000,224.000,248.000,2.070,1.900,1.880,"165,988",35.0,Y, , , , , ,,, ,
2015,3076,"Carroll Electric Coop, Inc - (OH)",OH, , , , , , , , ,,404.000,288.000, , ,"11,859",N,F,12.5,Y
2015,3081,Carroll Electric Member Corp - (GA),GA,126.000,126.000,122.000,1.570,1.570,1.530,"49,972",24.9,Y, , , , , ,,, ,
2015,3093,Carroll Electric Coop Corp - (AR),AR,136.800,123.400, ,1.775,1.630, ,"81,955",34.5,Y, , , , , ,,, ,
2015,3093,Carroll Electric Coop Corp - (AR),MO,75.000,67.000, ,1.096,0.982, ,"10,826",69.0,Y, , , , , ,,, ,
2015,3113,City of Carthage - (MO),MO,34.667,34.667,34.667,0.570,0.570,0.570,"7,479",13.2,Y, , , , , ,,, ,
2015,3203,Cedar Falls Utilities,IA, , , , , , , , ,,14.000, ,0.330, ,"18,849",N,L,69.0,N
2015,3208,Cedarburg Light & Water Comm,WI, , , , , , , , ,,3.210,0.000,0.028,0.000,"6,197",Y,F,24.9,N
2015,3222,Central Alabama Electric Coop,AL,155.000,155.000,124.000, , , ,"42,223",24.9,Y, , , , , ,,, ,
2015,3226,"Central Rural Electric Cooperative, Inc",OK,288.589,147.663,288.584,1.400,1.051,1.400,"20,202",25.0,Y, , , , , ,,, ,
2015,3245,"Central Florida Elec Coop, Inc",FL,233.340,153.260,198.700, , , ,"32,865",25.0,Y, , , , , ,,, ,
2015,3248,Central Georgia El Member Corp,GA,68.700,68.700,66.600,0.950,0.950,0.920,"52,791",25.0,Y, , , , , ,,, ,
2015,3249,Central Hudson Gas & Elec Corp,NY,173.140,173.140, ,1.380,1.380, ,"300,647",34.5,Y, , , , , ,,, ,
2015,3250,Central Electric Membership Corp. - (NC),NC,215.590,155.880,207.890, , , ,"22,190",25.0,Y, , , , , ,,, ,
2015,3264,Central Lincoln People's Ut Dt,OR, , , , , , , , ,,0.888, ,0.224, ,"38,500",N,O, ,Y
2015,3265,Cleco Power LLC,LA, , , , , , , , ,,2.660,2.660,1.750,1.750,"281,350",N,F,34.6,Y
2015,3266,Central Maine Power Co,ME,28.600,28.600,28.600,1.570,1.570,1.570,"616,979",34.5,N, , , , , ,,, ,
2015,3268,Central Missouri Elec Coop Inc,MO,179.263,145.675,179.263, , , ,"10,640",25.0,N, , , , , ,,, ,
2015,3273,"Central New Mexico El Coop, Inc",NM, , , , , , , , ,,456.800,180.800,2.900,1.300,"17,591",N,F,25.0,Y
2015,3278,AEP Texas Central Company,TX,260.900,176.900,246.900,2.023,1.681,1.774,"823,421",35.0,Y, , , , , ,,, ,
2015,3282,"Central Texas Elec Coop, Inc",TX, , , , , , , , ,,50.020,37.480,0.410, ,"38,728",N,L,24.9,N
2015,3287,"Central Valley Elec Coop, Inc",NM,50.892,50.892,47.083,0.484,0.484, ,"15,301",25.0,N, , , , , ,,, ,
2015,3291,Central Virginia Electric Coop,VA,514.800,329.400,410.400,3.214,2.823,2.485,"35,571",25.0,Y, , , , , ,,, ,
2015,3293,Central Wisconsin Elec Coop,WI, , , , , , , , ,,235.500, ,1.866, ,"7,839",N,O,12.5,N
2015,3295,City of Centralia - (WA),WA,166.925,49.657,166.925,1.200,0.500,1.200,"10,220",12.5,N, , , , , ,,, ,
2015,3314,"Chariton Valley Elec Coop, Inc",IA,151.000,83.000, ,1.440,1.030, ,"6,013",25.0,Y, , , , , ,,, ,
2015,3329,Borough of Chambersburg,PA,35.591,13.224,35.591,0.400,0.200,0.200,"11,187",12.5,N, , , , , ,,, ,
2015,3355,City of Chanute,KS, , , , , , , , ,,8.900, ,0.088, ,"5,652",N,L,12.5,N
2015,3390,"Caddo Electric Coop, Inc",OK, , , , , , , , ,,"9,076.323","3,011.417",8.337,5.477,"18,308",N,L,24.9,Y
2015,3400,City of Chaska - (MN),MN, , , , , , , , ,,136.400, ,1.400, ,"9,800",Y,F,8.0,N
2015,3408,City of Chattanooga - (TN),TN, , , , , , , , ,,96.312,63.758,1.193,0.845,"176,521",N,F,46.0,Y
2015,3413,PUD No 1 of Chelan County,WA, , , , , , , , ,,551.310, ,1.012, ,"49,421",N,F,12.5,N
2015,3420,City of Cheney - (WA),WA,"1,477.000",27.109,"1,058.000",2.900,0.200,1.900,"5,500",13.8,N, , , , , ,,, ,
2015,3436,Cherryland Electric Coop Inc,MI,77.865,77.865,77.865,0.725,0.725,0.725,"34,575",12.5,N, , , , , ,,, ,
2015,3461,Cheyenne Light Fuel & Power d/b/a Black Hills Energy,WY,31.158,23.989,31.153,0.390,0.330,0.334,"39,978",35.0,Y, , , , , ,,, ,
2015,3477,City of Chicopee - (MA),MA,5.740,5.740,5.740,0.132,0.132,0.132,"26,013",13.8,N, , , , , ,,, ,
2015,3478,Cimarron Electric Coop,OK,"7,662.600","1,465.400","6,197.200",0.200,0.140,0.190,"15,825",24.9,Y, , , , , ,,, ,
2015,3486,Chillicothe Municipal Utils,MO, , , , , , , , ,,38.343,5.278,0.800,0.060,"4,559",Y,F,7.2,Y
2015,3502,"Choctawhatche Elec Coop, Inc",FL,127.000,76.000,123.000,1.139,0.887,0.824,"47,799",12.5,Y, , , , , ,,, ,
2015,3503,"Choptank Electric Coop, Inc",MD,161.400,100.200,121.800,1.770,1.260,1.290,"52,553",25.0,Y, , , , , ,,, ,
2015,3542,Duke Energy Ohio Inc,OH,225.980,132.840,206.010,1.380,1.160,1.220,"697,961",34.5,N, , , , , ,,, ,
