Utility Characteristics,,,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,Service Type,"Data Type
O = Observed
I = Imputed",State,Ownership,BA_CODE,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2015,55,City of Aberdeen - (MS),A,Bundled,O,MS,Municipal,TVA,"3,895.0","35,346","2,624","4,627.0","42,794",659,"6,205.0","120,761",2,0.0,0,0,"14,727.0","198,901","3,285"
2015,59,City of Abbeville - (LA),A,Bundled,O,LA,Municipal,MISO,"5,966.6","57,203","4,576","4,357.1","39,545","1,031","3,631.8","42,140",28,.,.,.,"13,955.5","138,888","5,635"
2015,84,A & N Electric Coop,A,Bundled,O,MD,Cooperative,PJM,273.1,"2,207",268,69.8,538,44,0.0,0,0,0.0,0,0,342.9,"2,745",312
2015,84,A & N Electric Coop,A,Bundled,O,VA,Cooperative,PJM,"44,074.2","366,441","30,892","18,209.2","161,517","3,931","16,861.7","184,580",8,0.0,0,0,"79,145.1","712,538","34,831"
2015,97,Adams Electric Coop,A,Bundled,O,IL,Cooperative,MISO,"16,107.0","109,511","8,461","5,384.0","52,301",216,.,.,.,.,.,.,"21,491.0","161,812","8,677"
2015,108,Adams-Columbia Electric Coop,A,Bundled,O,WI,Cooperative,MISO,"41,503.0","264,033","33,718","8,677.0","70,951","1,892","13,734.0","160,500",885,.,.,.,"63,914.0","495,484","36,495"
2015,113,"Agway Energy Services, LLC",B,Energy,O,NY,Retail Power Marketer,NYIS,"26,906.7","285,911","36,262","12,377.3","150,811","7,409",0.0,0,0,0.0,0,0,"39,284.0","436,722","43,671"
2015,113,"Agway Energy Services, LLC",B,Energy,O,PA,Retail Power Marketer,PJM,68.8,"1,093",497,9.0,149,55,0.0,0,0,0.0,0,0,77.8,"1,242",552
2015,118,"Adams Rural Electric Coop, Inc",A,Bundled,O,OH,Cooperative,PJM,"13,284.0","95,480","7,395","2,089.0","18,462",59,.,.,.,.,.,.,"15,373.0","113,942","7,454"
