Utility Charateristics,,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,SERVICE_TYPE,"Data Type
O = Observed
I = Imputed",State,Ownership,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count
2012,6949,City of Gardner - (KS),A,Bundled,O,KS,Municipal,"9,293.0","81,138","7,189","3,936.0","42,703",429,661.0,"7,310",5,.,.,.,"13,890.0","131,151","7,623"
2012,6950,Garland Light & Power Company,A,Bundled,O,WY,Cooperative,"2,814.0","21,069","1,809",332.0,"2,558",38,368.0,"2,829",76,.,.,.,"3,514.0","26,456","1,923"
2012,6957,"Garkane Energy Coop, Inc",A,Bundled,O,AZ,Cooperative,"2,289.0","22,578","1,122","1,778.0","19,885",305,.,.,.,.,.,.,"4,067.0","42,463","1,427"
2012,6957,"Garkane Energy Coop, Inc",A,Bundled,O,UT,Cooperative,"8,627.0","92,141","9,398","7,115.0","78,467","1,863","1,378.0","20,243",1,.,.,.,"17,120.0","190,851","11,262"
2012,6958,City of Garland - (TX),A,Bundled,O,TX,Municipal,"98,555.0","895,369","62,084","78,534.0","786,429","6,304","16,142.0","278,541",8,.,.,.,"193,231.0","1,960,339","68,396"
2012,6965,City of Garnett,A,Bundled,O,KS,Municipal,"1,683.0","14,508","1,537",318.0,"3,096",262,"1,137.2","9,452",49,.,.,.,"3,138.2","27,056","1,848"
2012,7024,Gascosage Electric Coop,A,Bundled,O,MO,Cooperative,"11,782.0","130,759","8,897","2,354.0","25,018",891,"1,246.0","17,708",2,.,.,.,"15,382.0","173,485","9,790"
2012,7027,City of Gastonia,A,Bundled,O,NC,Municipal,"29,431.1","242,168","22,907","32,322.0","313,436","3,273","5,921.2","76,965",88,.,.,.,"67,674.3","632,569","26,268"
2012,7090,GreyStone Power Corporation,A,Bundled,O,GA,Cooperative,"157,028.0","1,542,369","110,948","62,423.0","597,948","8,628","31,491.0","458,650",61,.,.,.,"250,942.0","2,598,967","119,637"
2012,7096,City of Geneva- (IL),A,Bundled,O,IL,Municipal,"8,064.0","84,344","8,078","11,890.0","148,734","1,973","10,498.0","155,787",42,.,.,.,"30,452.0","388,865","10,093"
2012,7128,City of Georgetown - (SC),A,Bundled,O,SC,Municipal,"4,344.0","45,464","3,821","6,272.0","71,563","1,167",.,.,.,.,.,.,"10,616.0","117,027","4,988"
2012,7129,City of Georgetown - (TX),A,Bundled,O,TX,Municipal,"27,888.0","234,867","19,414","24,719.0","237,806","2,407","5,797.0","65,323",17,.,.,.,"58,404.0","537,996","21,838"
2012,7140,Georgia Power Co,A,Bundled,O,GA,Investor Owned,"2,986,269.8","25,742,280","2,057,900","3,042,144.4","32,753,694","304,818","1,321,578.6","23,089,482","8,263","12,014.8","156,955",1,"7,362,007.6","81,742,411","2,370,982"
2012,7149,City of Gering - (NE),A,Bundled,O,NE,Municipal,"4,346.0","33,915","3,455","1,521.0","13,030",454,"1,906.0","17,548",37,.,.,.,"7,773.0","64,493","3,946"
2012,7174,Gibson Electric Members Corp,A,Bundled,O,TN,Cooperative,"49,094.0","456,551","28,712","16,855.0","150,969","6,003","14,526.0","195,151",14,0.0,0,0,"80,475.0","802,671","34,729"
2012,7222,City of Gillette - (WY),A,Bundled,O,WY,Municipal,"12,357.0","136,012","12,642","12,256.0","175,344","2,252",0.0,0,0,0.0,0,0,"24,613.0","311,356","14,894"
2012,7257,City of Girard - (KS),A,Bundled,O,KS,Municipal,"2,040.0","13,496","1,366",798.0,"5,846",213,"1,295.0","10,906",56,.,.,.,"4,133.0","30,248","1,635"
2012,7262,"Glacier Electric Coop, Inc",A,Bundled,O,MT,Cooperative,"6,732.0","68,147","5,790","6,130.0","81,600","1,676","1,238.0","19,394",5,.,.,.,"14,100.0","169,141","7,471"
2012,7264,"Glades Electric Coop, Inc",A,Bundled,O,FL,Cooperative,"19,922.0","141,110","12,219","13,607.0","90,257","3,800","5,952.0","63,645",13,.,.,.,"39,481.0","295,012","16,032"
2012,7265,City of Gladstone,A,Bundled,O,MI,Municipal,"2,596.3","17,466","2,511","1,583.2","15,489",333,0.0,0,0,0.0,0,0,"4,179.5","32,955","2,844"
2012,7270,City of Glasgow - (KY),A,Bundled,O,KY,Municipal,"6,998.0","65,878","5,328","14,029.0","132,957","1,923","9,137.0","115,349",12,0.0,0,0,"30,164.0","314,184","7,263"
2012,7279,GEXA Corp.,B,Energy,O,CT,Retail Power Marketer,0.0,0,0,"52,900.0","623,103","7,294",0.0,0,0,0.0,0,0,"52,900.0","623,103","7,294"
2012,7279,GEXA Corp.,B,Energy,O,DC,Retail Power Marketer,430.9,"4,844",510,"6,003.5","68,262",172,0.0,0,0,0.0,0,0,"6,434.4","73,106",682
2012,7279,GEXA Corp.,B,Energy,O,DE,Retail Power Marketer,"1,515.0","16,839","1,564","1,503.0","16,982",372,0.0,0,0,0.0,0,0,"3,018.0","33,821","1,936"
2012,7279,GEXA Corp.,B,Energy,O,IL,Retail Power Marketer,0.0,0,0,"3,372.7","55,067","1,000",0.0,0,0,0.0,0,0,"3,372.7","55,067","1,000"
2012,7279,GEXA Corp.,B,Energy,O,MA,Retail Power Marketer,0.0,0,0,"65,017.5","803,647","6,383",0.0,0,0,0.0,0,0,"65,017.5","803,647","6,383"
2012,7279,GEXA Corp.,B,Energy,O,MD,Retail Power Marketer,234.9,"2,594",214,"33,710.3","396,267","2,344",0.0,0,0,0.0,0,0,"33,945.2","398,861","2,558"
2012,7279,GEXA Corp.,B,Energy,O,ME,Retail Power Marketer,0.0,0,0,"14,523.1","204,757","2,111",0.0,0,0,0.0,0,0,"14,523.1","204,757","2,111"
2012,7279,GEXA Corp.,B,Energy,O,NH,Retail Power Marketer,0.0,0,0,"32,297.7","440,668","5,940",0.0,0,0,0.0,0,0,"32,297.7","440,668","5,940"
2012,7279,GEXA Corp.,B,Energy,O,NJ,Retail Power Marketer,921.6,"11,308","2,211","51,673.5","583,552","5,302",0.0,0,0,0.0,0,0,"52,595.1","594,860","7,513"
2012,7279,GEXA Corp.,B,Energy,O,NY,Retail Power Marketer,0.0,0,0,"26,593.3","296,211","2,101",0.0,0,0,0.0,0,0,"26,593.3","296,211","2,101"
2012,7279,GEXA Corp.,B,Energy,O,OH,Retail Power Marketer,0.0,0,0,"12,117.9","208,725","1,029",0.0,0,0,0.0,0,0,"12,117.9","208,725","1,029"
2012,7279,GEXA Corp.,B,Energy,O,PA,Retail Power Marketer,"2,261.9","28,330","2,592","52,429.5","832,253","5,621",0.0,0,0,0.0,0,0,"54,691.4","860,583","8,213"
2012,7279,GEXA Corp.,B,Energy,O,RI,Retail Power Marketer,0.0,0,0,"7,978.7","105,981",615,0.0,0,0,0.0,0,0,"7,978.7","105,981",615
2012,7279,GEXA Corp.,D,Bundled,O,TX,Retail Power Marketer,"115,085.4","1,966,076","119,945","266,530.9","4,390,407","39,039",0.0,0,0,0.0,0,0,"381,616.3","6,356,483","158,984"
2012,7292,Glencoe Light & Power Comm,A,Bundled,O,MN,Municipal,"2,431.9","21,786","2,395","2,976.8","28,152",375,"2,047.3","22,559",2,.,.,.,"7,456.0","72,497","2,772"
2012,7294,City of Glendale,A,Bundled,O,CA,Municipal,"57,192.0","384,621","72,125","50,291.0","336,897","12,816","49,225.0","387,400",219,.,.,.,"156,708.0","1,108,918","85,160"
2012,7300,City of Glenwood Springs - (CO),A,Bundled,O,CO,Municipal,"3,051.7","37,182","4,779","6,806.3","88,769","1,331",.,.,.,.,.,.,"9,858.0","125,951","6,110"
2012,7303,Raccoon Valley Electric Cooperative,A,Bundled,O,IA,Cooperative,"5,480.0","41,611","2,291","6,194.6","77,506",382,.,.,.,.,.,.,"11,674.6","119,117","2,673"
2012,7353,Golden Valley Elec Assn Inc,A,Bundled,O,AK,Cooperative,"73,023.3","301,535","38,011","30,826.2","136,451","6,298","160,872.2","855,521",496,.,.,.,"264,721.7","1,293,507","44,805"
2012,7374,City of Goodland - (KS),A,Bundled,O,KS,Municipal,"2,359.0","18,422","2,191",931.0,"8,508",467,"1,784.0","19,212",58,.,.,.,"5,074.0","46,142","2,716"
2012,7411,City of Gothenburg - (NE),A,Bundled,O,NE,Municipal,"1,580.0","20,123","1,474","1,189.0","14,599",370,"1,788.0","22,562",15,.,.,.,"4,557.0","57,284","1,859"
2012,7443,City of Graettinger,A,Bundled,O,IA,Municipal,391.9,"5,020",427,120.3,"1,410",78,219.0,"2,732",15,0.0,0,0,731.2,"9,162",520
2012,7450,Grady Electric Membership Corp,A,Bundled,O,GA,Cooperative,"28,839.0","237,108","18,308","2,827.0","24,811",713,"3,273.0","32,989",356,.,.,.,"34,939.0","294,908","19,377"
2012,7456,Graham County Electric Coop Inc,A,Bundled,O,AZ,Cooperative,"9,493.0","78,186","7,752","3,475.4","30,458",815,"6,125.8","56,835",425,.,.,.,"19,094.2","165,479","8,992"
2012,7460,Goodhue County Coop Elec Assn,A,Bundled,O,MN,Cooperative,"9,988.0","80,946","4,655",.,.,.,802.0,"6,312",267,.,.,.,"10,790.0","87,258","4,922"
2012,7483,City of Grand Haven,A,Bundled,O,MI,Municipal,"10,734.0","80,091","11,620","13,377.0","91,370","1,731","10,332.0","109,831",125,.,.,.,"34,443.0","281,292","13,476"
2012,7484,"Grand Electric Coop, Inc",A,Bundled,O,MT,Cooperative,11.0,117,15,.,.,.,.,.,.,.,.,.,11.0,117,15
2012,7484,"Grand Electric Coop, Inc",A,Bundled,O,SD,Cooperative,"3,579.0","38,124","4,494","11,353.0","178,688",569,.,.,.,.,.,.,"14,932.0","216,812","5,063"
2012,7489,Grand Rapids Public Util Comm,A,Bundled,O,MN,Municipal,"4,322.0","47,918","5,619","8,211.0","96,746","1,366","1,511.0","20,850",4,.,.,.,"14,044.0","165,514","6,989"
2012,7490,Grand River Dam Authority,A,Bundled,O,OK,State,0.0,0,0,496.5,"5,494",48,"57,534.4","1,051,484",31,0.0,0,0,"58,030.9","1,056,978",79
2012,7548,PUD No 1 of Grays Harbor County,A,Bundled,O,WA,Political Subdivision,"42,555.0","497,856","34,660","24,268.0","301,746","4,229","10,355.0","176,342","2,524",.,.,.,"77,178.0","975,944","41,413"
2012,7554,Green Mountain Energy Company,B,Energy,O,NJ,Retail Power Marketer,.,.,.,"1,065.3","10,037",468,.,.,.,.,.,.,"1,065.3","10,037",468
2012,7554,Green Mountain Energy Company,B,Energy,O,NY,Retail Power Marketer,"5,571.0","44,667","35,735","15,273.3","141,823","2,672",.,.,.,.,.,.,"20,844.3","186,490","38,407"
2012,7554,Green Mountain Energy Company,B,Energy,O,PA,Retail Power Marketer,272.4,"2,891","1,640",11.0,166,16,.,.,.,.,.,.,283.4,"3,057","1,656"
2012,7554,Green Mountain Energy Company,D,Bundled,O,TX,Retail Power Marketer,"254,788.6","2,776,190","266,640","238,149.9","3,444,910","48,171",.,.,.,.,.,.,"492,938.5","6,221,100","314,811"
2012,7558,Grayson Rural Electric Coop Corp,A,Bundled,O,KY,Cooperative,"21,816.0","173,010","14,197","4,742.0","42,729","1,190","1,962.0","28,995",2,.,.,.,"28,520.0","244,734","15,389"
2012,7559,"Grayson-Collin Elec Coop, Inc",A,Bundled,O,TX,Cooperative,"69,383.0","616,862","36,315","16,764.0","136,506","2,356",.,.,.,.,.,.,"86,147.0","753,368","38,671"
2012,7561,"Greenbelt Electric Coop, Inc",A,Bundled,O,TX,Cooperative,"3,420.0","24,261","3,508","3,509.0","31,087",960,"8,075.0","92,591",635,.,.,.,"15,004.0","147,939","5,103"
2012,7563,Grand Valley Power,A,Bundled,O,CO,Cooperative,"20,118.8","144,714","14,127","8,612.9","70,392","2,176",906.7,"9,517",114,.,.,.,"29,638.4","224,623","16,417"
2012,7593,City of Green Cove Springs,A,Bundled,O,FL,Municipal,"5,006.5","41,262","3,098","6,611.2","56,073",702,690.4,"6,427",3,.,.,.,"12,308.1","103,762","3,803"
2012,7601,Green Mountain Power Corp,A,Bundled,O,VT,Investor Owned,"141,049.0","835,602","115,545","122,220.0","896,610","20,626","70,847.0","745,539",39,0.0,0,0,"334,116.0","2,477,751","136,210"
2012,7625,City of Greeneville - (TN),A,Bundled,O,TN,Municipal,"43,135.0","447,435","30,604","27,369.0","263,909","7,069","24,892.0","336,989",24,0.0,0,0,"95,396.0","1,048,333","37,697"
2012,7626,City of Greenfield - (IA),A,Bundled,O,IA,Municipal,938.8,"9,261",998,"1,014.8","10,863",267,"1,561.9","19,652",1,.,.,.,"3,515.5","39,776","1,266"
2012,7627,City of Greenfield - (IN),A,Bundled,O,IN,Municipal,"8,358.0","94,392","9,200","8,617.0","104,674",964,"11,275.0","150,992",15,.,.,.,"28,250.0","350,058","10,179"
2012,7634,City of Greenville - (TX),A,Bundled,O,TX,Municipal,"13,561.2","142,921","11,215","27,331.1","369,570","2,104",.,.,.,.,.,.,"40,892.3","512,491","13,319"
2012,7639,Greenville Utilities Comm,A,Bundled,O,NC,Municipal,"87,086.0","664,381","56,896","76,571.0","698,582","7,422","22,262.0","268,525",311,.,.,.,"185,919.0","1,631,488","64,629"
2012,7646,Greenwood CPW,A,Bundled,O,SC,Municipal,"9,865.0","108,086","10,961","4,113.0","40,656","2,590","9,953.0","146,062",243,.,.,.,"23,931.0","294,804","13,794"
2012,7651,Greenwood Utilities Comm,A,Bundled,O,MS,Municipal,"10,084.0","103,411","8,101","12,272.0","130,455","1,789","3,323.0","40,734",3,.,.,.,"25,679.0","274,600","9,893"
2012,7654,Greer Commission of Public Wks,A,Bundled,O,SC,Municipal,"17,095.0","167,257","14,003","15,157.0","165,104","4,017",.,.,.,.,.,.,"32,252.0","332,361","18,020"
2012,7679,City of Griffin - (GA),A,Bundled,O,GA,Municipal,"15,407.0","147,025","12,621","19,882.0","165,578","2,227","6,565.0","85,528",16,.,.,.,"41,854.0","398,131","14,864"
2012,7716,Groton Dept of Utilities - (CT),A,Bundled,O,CT,Municipal,"16,525.0","100,524","11,245","16,486.0","111,861","1,508","26,671.0","244,758",16,0.0,0,0,"59,682.0","457,143","12,769"
2012,7720,"Grundy Electric Coop, Inc",A,Bundled,O,IA,Cooperative,304.0,"2,703",243,48.0,473,14,.,.,.,.,.,.,352.0,"3,176",257
2012,7720,"Grundy Electric Coop, Inc",A,Bundled,O,MO,Cooperative,"7,443.0","67,155","5,695","2,892.0","33,471",768,"1,425.0","15,411",6,.,.,.,"11,760.0","116,037","6,469"
2012,7743,Grundy Center Mun Light & Power,A,Bundled,O,IA,Municipal,"1,234.0","12,436","1,245","1,107.0","13,124",251,.,.,.,.,.,.,"2,341.0","25,560","1,496"
2012,7750,Guthrie County Rural E C A,A,Bundled,O,IA,Cooperative,"7,077.0","61,523","4,457","1,145.0","12,850",107,"4,826.0","76,112",7,0.0,0,0,"13,048.0","150,485","4,571"
2012,7752,Guadalupe Valley Elec Coop Inc,A,Bundled,O,TX,Cooperative,"103,181.0","972,874","65,763","37,390.0","460,905","5,317","29,801.0","574,040",84,.,.,.,"170,372.0","2,007,819","71,164"
2012,7785,"Gulf Coast Electric Coop, Inc",A,Bundled,O,FL,Cooperative,"31,931.0","241,353","18,647","7,852.0","66,283","1,425",0.0,0,0,0.0,0,0,"39,783.0","307,636","20,072"
2012,7787,Gunnison County Elec Assn.,A,Bundled,O,CO,Cooperative,"10,204.0","67,985","8,937","4,226.0","34,778","1,430",762.0,"7,316",8,.,.,.,"15,192.0","110,079","10,375"
2012,7801,Gulf Power Co,A,Bundled,O,FL,Investor Owned,"609,454.0","5,053,724","379,922","394,527.0","3,883,789","54,384","140,490.0","1,725,121",264,.,.,.,"1,144,471.0","10,662,634","434,570"
2012,7826,City of Gunnison,A,Bundled,O,CO,Municipal,"1,934.5","24,180","3,348","2,588.0","39,673",815,.,.,.,.,.,.,"4,522.5","63,853","4,163"
2012,7827,Guntersville Electric Board,A,Bundled,O,AL,Municipal,"6,660.0","67,333","4,671","7,866.0","74,139","1,617","6,620.0","79,710",5,0.0,0,0,"21,146.0","221,182","6,293"
2012,7864,Grundy County Rural Elec Coop,A,Bundled,O,IA,Cooperative,"3,539.0","27,421","1,897","1,594.0","14,517",381,831.0,"13,250",2,0.0,0,0,"5,964.0","55,188","2,280"
2012,7870,H-D Electric Coop Inc,A,Bundled,O,MN,Cooperative,16.0,153,10,.,.,.,.,.,.,.,.,.,16.0,153,10
2012,7870,H-D Electric Coop Inc,A,Bundled,O,SD,Cooperative,"5,245.0","55,134","3,074","1,912.0","25,048",250,324.0,"2,680",102,.,.,.,"7,481.0","82,862","3,426"
2012,7887,Habersham Electric Membership Corp,A,Bundled,O,GA,Cooperative,"45,289.0","371,336","31,340","10,134.0","94,796","2,401",.,.,.,.,.,.,"55,423.0","466,132","33,741"
2012,7891,Guernsey-Muskingum El Coop Inc,A,Bundled,O,OH,Cooperative,"22,519.0","163,533","14,750","5,017.0","39,406","2,002","2,240.0","26,949",3,.,.,.,"29,776.0","229,888","16,755"
2012,7908,Hagerstown Light Department,A,Bundled,O,MD,Municipal,"12,936.0","150,914","14,752","8,509.0","95,829","2,559","4,665.0","62,331",48,.,.,.,"26,110.0","309,074","17,359"
2012,7969,City of Halstad - (MN),A,Bundled,O,MN,Municipal,439.0,"4,299",265,405.0,"4,012",72,.,.,.,.,.,.,844.0,"8,311",337
2012,7977,City of Hamilton - (OH),A,Bundled,O,OH,Municipal,"28,237.2","258,386","26,052","22,259.7","197,191","2,882","11,178.1","128,196",45,.,.,.,"61,675.0","583,773","28,979"
2012,7978,Halifax Electric Member Corp,A,Bundled,O,NC,Cooperative,"17,617.0","121,315","10,535","3,596.0","27,970","1,174",.,.,.,.,.,.,"21,213.0","149,285","11,709"
2012,7979,Hamilton County Elec Coop Assn,A,Bundled,O,TX,Cooperative,"19,366.0","174,097","16,111","2,354.0","23,309",732,.,.,.,.,.,.,"21,720.0","197,406","16,843"
2012,8000,NineStar Connect,A,Bundled,O,IN,Cooperative,"22,875.0","192,032","11,511","3,933.0","35,229",943,"1,502.0","14,548",12,.,.,.,"28,310.0","241,809","12,466"
2012,8034,Hancock-Wood Electric Coop Inc,A,Bundled,O,OH,Cooperative,"20,027.0","149,915","10,867","11,032.0","90,186","2,125","9,389.0","103,728",10,.,.,.,"40,448.0","343,829","13,002"
2012,8055,City of Hannibal - (MO),A,Bundled,O,MO,Municipal,"8,514.0","82,303","7,635","3,035.0","32,225","1,204","12,873.0","149,306",138,.,.,.,"24,422.0","263,834","8,977"
2012,8104,Town of Hardwick,A,Bundled,O,VT,Municipal,"4,294.0","23,259","3,992",836.0,"4,521",403,691.0,"3,982",25,.,.,.,"5,821.0","31,762","4,420"
2012,8122,Harlan Municipal Utilities - (IA),A,Bundled,O,IA,Municipal,"2,848.0","22,833","2,331","1,704.0","16,442",499,"1,545.0","21,540",40,.,.,.,"6,097.0","60,815","2,870"
2012,8147,City of Harriman - (TN),A,Bundled,O,TN,Municipal,"13,558.0","128,596","9,475","8,076.0","72,964","1,772",379.0,"3,159",1,0.0,0,0,"22,013.0","204,719","11,248"
2012,8153,Hartford Steam Co,A,Bundled,O,CT,Unregulated,.,.,.,24.0,661,1,.,.,.,.,.,.,24.0,661,1
2012,8153,Harford Steam Co,A,Bundled,O,CT,Unregulated,.,.,.,.,.,.,606.0,"17,730",1,.,.,.,606.0,"17,730",1
2012,8179,Harrison County Rural E M C,A,Bundled,O,IN,Cooperative,"36,338.8","331,031","20,866","8,673.5","83,100","1,395","7,519.1","91,456",13,.,.,.,"52,531.4","505,587","22,274"
2012,8198,City of Harrisonburg - (VA),A,Bundled,O,VA,Municipal,"18,048.0","185,382","16,953","33,299.0","382,693","3,283","9,198.0","128,499",10,.,.,.,"60,545.0","696,574","20,246"
2012,8199,City of Harrisonville - (MO),A,Bundled,O,MO,Municipal,"5,015.0","43,374","3,924","6,487.0","58,863",780,.,.,.,.,.,.,"11,502.0","102,237","4,704"
2012,8210,Hart Electric Member Corp,A,Bundled,O,GA,Cooperative,"42,882.0","358,844","28,293","18,076.0","154,688","7,077","1,757.0","22,082",18,.,.,.,"62,715.0","535,614","35,388"
2012,8212,Hartford Electric,A,Bundled,O,WI,Municipal,"5,612.6","46,720","5,902","7,119.8","70,614",861,"14,602.0","189,885",7,0.0,0,0,"27,334.4","307,219","6,770"
2012,8226,City of Hartselle,A,Bundled,O,AL,Municipal,"6,055.0","63,567","4,324","5,789.0","56,760","1,106","2,186.0","25,500",3,0.0,0,0,"14,030.0","145,827","5,433"
2012,8245,City of Hastings - (NE),A,Bundled,O,NE,Municipal,"9,418.9","111,109","10,742","8,333.9","108,796","2,332","12,943.1","236,740",95,0.0,0,0,"30,695.9","456,645","13,169"
2012,8276,Havana Power & Light Company,A,Bundled,O,FL,Municipal,"1,493.0","12,288","1,101","1,231.0","10,538",260,.,.,.,.,.,.,"2,724.0","22,826","1,361"
2012,8283,Harrison County Rrl Elec Coop,A,Bundled,O,IA,Cooperative,"6,314.0","45,984","3,345","1,224.0","9,334",350,"1,856.0","33,716",1,.,.,.,"9,394.0","89,034","3,696"
2012,8287,Hawaii Electric Light Co Inc,A,Bundled,O,HI,Investor Owned,"174,060.6","409,840","68,786","177,668.6","430,171","12,654","87,519.3","245,160",75,.,.,.,"439,248.5","1,085,171","81,515"
2012,8288,City of Hawarden - (IA),A,Bundled,O,IA,Municipal,"1,057.0","11,500","1,032",773.0,"10,000",264,386.0,"4,000",10,.,.,.,"2,216.0","25,500","1,306"
2012,8298,Hawkeye Tri-County El Coop Inc,A,Bundled,O,IA,Cooperative,"11,174.6","77,585","5,881","5,270.9","50,017",835,"5,400.1","73,811",3,.,.,.,"21,845.6","201,413","6,719"
2012,8307,Hawley Public Utilities Comm,A,Bundled,O,MN,Municipal,"1,151.0","10,160",900,899.0,"8,856",199,.,.,.,.,.,.,"2,050.0","19,016","1,099"
2012,8319,Heartland Power Coop,A,Bundled,O,IA,Cooperative,"9,495.0","81,199","4,409","3,155.0","31,812",792,"10,105.0","147,598",7,.,.,.,"22,755.0","260,609","5,208"
2012,8319,Heartland Power Coop,A,Bundled,O,MN,Cooperative,76.0,804,39,.,.,.,.,.,.,.,.,.,76.0,804,39
2012,8333,Haywood Electric Member Corp,A,Bundled,O,GA,Cooperative,457.0,"2,832",373,3.0,16,3,.,.,.,.,.,.,460.0,"2,848",376
2012,8333,Haywood Electric Member Corp,A,Bundled,O,NC,Cooperative,"36,048.0","231,766","25,178","2,322.0","19,096",585,909.0,"8,810",13,.,.,.,"39,279.0","259,672","25,776"
2012,8333,Haywood Electric Member Corp,A,Bundled,O,SC,Cooperative,6.0,27,10,5.0,31,3,.,.,.,.,.,.,11.0,58,13
2012,8348,City of Healdsburg - (CA),A,Bundled,O,CA,Municipal,"3,901.3","27,305","4,605","5,262.0","39,006",958,961.5,"7,798",51,0.0,0,0,"10,124.8","74,109","5,614"
2012,8366,Heber Light & Power Company,A,Bundled,O,UT,Municipal,"5,962.0","82,089","9,714","5,752.0","67,992","1,345",0.0,0,0,0.0,0,0,"11,714.0","150,081","11,059"
2012,8375,City of Hebron - (NE),A,Bundled,O,NE,Municipal,796.0,"8,710",743,"1,058.0","12,936",220,.,.,.,.,.,.,"1,854.0","21,646",963
2012,8447,Hendricks County Rural E M C,A,Bundled,O,IN,Cooperative,"48,939.8","428,068","27,936","22,838.7","246,402",649,"2,649.2","32,582",3,.,.,.,"74,427.7","707,052","28,588"
2012,8449,Henderson City Utility Comm,A,Bundled,O,KY,Municipal,"11,872.0","150,409","10,270","8,498.0","109,983","1,583","16,601.0","320,965",36,.,.,.,"36,971.0","581,357","11,889"
2012,8466,Henry County Rural E M C,A,Bundled,O,IN,Cooperative,"16,006.4","140,320","9,507","1,872.7","17,420",164,"1,254.4","13,413",6,.,.,.,"19,133.5","171,153","9,677"
2012,8515,City of Hermiston,A,Bundled,O,OR,Municipal,"3,577.0","51,129","4,472","3,480.0","53,502",816,0.0,0,0,0.0,0,0,"7,057.0","104,631","5,288"
2012,8543,Hibbing Public Utilities Comm,A,Bundled,O,MN,Municipal,"5,821.3","49,989","7,255","7,701.5","66,582",954,411.6,"7,355",7,.,.,.,"13,934.4","123,926","8,216"
2012,8548,City of Hickman,A,Bundled,O,KY,Municipal,"1,231.0","10,433",887,"1,226.0","8,460",218,0.0,0,0,0.0,0,0,"2,457.0","18,893","1,105"
2012,8566,High Plains Power Inc,A,Bundled,O,WY,Cooperative,"16,043.2","141,750","11,848","6,450.2","71,248",442,"54,864.7","786,639",465,0.0,0,0,"77,358.1","999,637","12,755"
2012,8570,Highline Electric Assn,A,Bundled,O,CO,Cooperative,"5,782.4","49,653","4,925","5,875.6","50,554","1,358","29,800.0","325,134","2,105",.,.,.,"41,458.0","425,341","8,388"
2012,8570,Highline Electric Assn,A,Bundled,O,NE,Cooperative,897.4,"7,796",756,917.2,"8,111",170,"10,404.0","97,342","1,083",.,.,.,"12,218.6","113,249","2,009"
2012,8571,Town of High Point,A,Bundled,O,NC,Municipal,"43,633.0","366,613","33,547","55,897.0","581,899","5,806","13,441.0","164,643",254,.,.,.,"112,971.0","1,113,155","39,607"
2012,8573,City of Highland,A,Bundled,O,IL,Municipal,"6,591.0","67,325","5,760",776.0,"9,150",635,"4,688.0","54,580",167,.,.,.,"12,055.0","131,055","6,562"
2012,8574,"Jackson Electric Coop, Inc - (WI)",A,Bundled,O,WI,Cooperative,"11,662.0","91,832","7,307","2,332.0","26,762",114,"4,941.0","58,874",4,.,.,.,"18,935.0","177,468","7,425"
2012,8610,City of Hinton,A,Bundled,O,IA,Municipal,381.0,"4,469",301,168.0,"1,666",63,316.1,"3,290",10,.,.,.,865.1,"9,425",374
2012,8620,"HILCO Electric Cooperative, Inc.",A,Bundled,O,TX,Cooperative,"33,321.0","331,970","18,494","11,497.0","118,897","5,209",.,.,.,.,.,.,"44,818.0","450,867","23,703"
2012,8631,Hillsdale Board of Public Wks,A,Bundled,O,MI,Municipal,"4,467.2","38,838","5,306","4,904.6","50,586",974,"2,636.5","30,313",27,.,.,.,"12,008.3","119,737","6,307"
2012,8632,"Hill County Electric Coop, Inc",A,Bundled,O,MT,Cooperative,"4,893.1","39,008","3,566","2,618.1","26,909",190,"4,551.5","59,591",3,.,.,.,"12,062.7","125,508","3,759"
2012,8637,Hino Electric Holding Company,D,Bundled,O,TX,Retail Power Marketer,"2,166.6","18,787",947,"13,432.7","126,582",456,.,.,.,.,.,.,"15,599.3","145,369","1,403"
2012,8699,Inland Power & Light Company,A,Bundled,O,ID,Cooperative,"1,736.0","23,474","1,561",221.0,"2,973",99,1.0,4,4,.,.,.,"1,958.0","26,451","1,664"
2012,8699,Inland Power & Light Company,A,Bundled,O,WA,Cooperative,"43,042.0","591,806","34,465","8,071.0","117,436","2,149","6,655.0","117,121",525,.,.,.,"57,768.0","826,363","37,139"
2012,8717,City of Holdrege,A,Bundled,O,NE,Municipal,"2,580.1","28,150","2,511","3,682.6","39,635",637,"2,661.5","54,656",2,.,.,.,"8,924.2","122,441","3,150"
2012,8723,City of Holland,A,Bundled,O,MI,Municipal,"18,540.0","180,055","23,134","30,017.0","343,318","4,379","38,760.0","516,441",178,.,.,.,"87,317.0","1,039,814","27,691"
2012,8748,City of Holly Springs,A,Bundled,O,MS,Municipal,"14,200.0","131,033","8,637","9,544.0","78,796","2,762","2,789.0","21,060",5,0.0,0,0,"26,533.0","230,889","11,404"
