Utility Characteristics,,,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,SERVICE_TYPE,"Data Type
O = Observed
I = Imputed",State,Ownership,BA_CODE,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2013,296,"Alfalfa Electric Coop, Inc",A,Bundled,O,KS,Cooperative,WFEC,399.0,"4,207",219,"1,040.0","9,094",711,744.0,"9,818",15,.,.,.,"2,183.0","23,119",945
2013,296,"Alfalfa Electric Coop, Inc",A,Bundled,O,OK,Cooperative,WFEC,"4,808.0","50,751","2,701","6,413.0","54,605","4,603","25,605.0","480,819",152,.,.,.,"36,826.0","586,175","7,456"
2013,298,City of Alexandria - (LA),A,Bundled,O,LA,Municipal,MISO,"12,948.0","298,732","21,089","15,677.0","367,804","3,494",137.0,"34,482",447,.,.,.,"28,762.0","701,018","25,030"
2013,305,Alger-Delta Coop Electric Assn,A,Bundled,O,MI,Cooperative,MISO,"9,861.3","47,975","9,458","2,037.3","13,094",553,"1,262.0","9,221",1,0.0,0,0,"13,160.6","70,290","10,012"
2013,307,Algoma Utility Comm,A,Bundled,O,WI,Municipal,MISO,"1,419.0","11,467","1,653","1,498.1","13,319",351,"1,624.0","18,556",3,0.0,0,0,"4,541.1","43,342","2,007"
2013,308,City of Acworth - (GA),A,Bundled,O,GA,Municipal,SOCO,"8,144.0","57,127","5,772","4,432.0","33,816",610,.,.,.,.,.,.,"12,576.0","90,943","6,382"
2013,309,City of Algona - (IA),A,Bundled,O,IA,Municipal,WAUE,"3,293.0","31,286","3,029","2,312.0","25,812",671,"2,912.0","55,983",14,.,.,.,"8,517.0","113,081","3,714"
2013,329,"Allamakee-Clayton El Coop, Inc",A,Bundled,O,IA,Cooperative,MISO,"16,065.8","115,532","9,392","1,561.7","12,715",513,.,.,.,.,.,.,"17,627.5","128,247","9,905"
2013,367,City of Alliance- (NE),A,Bundled,O,NE,Municipal,NPPD,"4,227.0","42,766","4,148","4,430.0","45,176","1,034","2,393.0","32,790",13,.,.,.,"11,050.0","120,732","5,195"
2013,392,Alpena Power Co,A,Bundled,O,MI,Investor Owned,MISO,"12,202.0","87,251","13,687","12,580.0","101,418","3,943","9,141.0","142,319",4,.,.,.,"33,923.0","330,988","17,634"
2013,407,Altamaha Electric Member Corp,A,Bundled,O,GA,Cooperative,SOCO,"29,804.7","226,875","17,975","9,274.0","79,393","1,827","4,967.0","68,851",163,0.0,0,0,"44,045.7","375,119","19,965"
2013,416,City of Altus - (OK),A,Bundled,O,OK,Municipal,WFEC,"11,925.5","95,347","7,757","7,367.2","72,461","1,323","2,760.3","40,747",2,.,.,.,"22,053.0","208,555","9,082"
2013,471,Amana Society Service Co,A,Bundled,O,IA,Investor Owned,MISO,906.0,"7,472",708,977.0,"9,109",180,"5,679.0","70,241",1,0.0,0,0,"7,562.0","86,822",889
2013,540,BP Energy Company,B,Energy,O,WA,Retail Power Marketer,PSEI,0.0,0,0,0.0,0,0,"34,072.0","1,063,194",3,0.0,0,0,"34,072.0","1,063,194",3
2013,540,BP Energy Company,D,Bundled,O,TX,Retail Power Marketer,ERCO,0.0,0,0,0.0,0,0,"15,058.0","330,661",6,0.0,0,0,"15,058.0","330,661",6
2013,554,City of Ames - (IA),A,Bundled,O,IA,Municipal,MISO,"18,444.1","162,150","22,237","26,783.5","319,610","2,864","10,800.0","139,868",7,.,.,.,"56,027.6","621,628","25,108"
2013,560,City of Amherst- (OH),A,Bundled,O,OH,Municipal,PJM,"5,395.0","56,533","5,318","1,477.0","13,378",499,"3,284.0","35,242",70,.,.,.,"10,156.0","105,153","5,887"
2013,562,Amicalola Electric Member Corp,A,Bundled,O,GA,Cooperative,SOCO,"63,040.9","554,940","41,825","15,044.4","129,707","4,409",.,.,.,.,.,.,"78,085.3","684,647","46,234"
2013,571,City of Amory,A,Bundled,O,MS,Municipal,TVA,"3,935.0","39,689","2,947","6,037.0","57,232","1,104","3,129.0","40,042",3,0.0,0,0,"13,101.0","136,963","4,054"
2013,577,City of Alcoa Utilities,A,Bundled,O,TN,Municipal,TVA,"36,058.0","365,217","23,624","22,950.0","231,031","4,164",0.0,0,0,0.0,0,0,"59,008.0","596,248","27,788"
2013,590,City of Anaheim - (CA),A,Bundled,O,CA,Municipal,CISO,"101,941.0","584,317","98,513","128,448.0","713,330","16,702","159,568.0","1,084,048",362,.,.,.,"389,957.0","2,381,695","115,577"
2013,599,Anchorage Municipal Light and Power,A,Bundled,O,AK,Municipal,AMPL,"18,480.3","139,733","24,463","94,117.3","907,737","6,323",.,.,.,.,.,.,"112,597.6","1,047,470","30,786"
2013,604,City of Andalusia,A,Bundled,O,AL,Municipal,AEC,"5,291.0","40,877","3,681","8,006.0","62,759",996,"17,717.0","295,517",4,.,.,.,"31,014.0","399,153","4,681"
2013,636,City of Anderson - (IN),A,Bundled,O,IN,Municipal,PJM,"29,694.5","310,737","31,652","28,461.9","313,359","3,810","13,166.8","215,242",60,.,.,.,"71,323.2","839,338","35,522"
2013,689,Connexus Energy,A,Bundled,O,MN,Cooperative,MISO,"145,600.6","1,181,107","116,071","64,403.5","682,415","11,326","12,055.7","137,696",396,.,.,.,"222,059.8","2,001,218","127,793"
2013,690,City of Bardstown - (KY),A,Bundled,O,KY,Municipal,LGEE,"3,717.0","45,017","3,338","4,807.0","56,087","1,051","6,765.0","95,723",14,.,.,.,"15,289.0","196,827","4,403"
2013,691,City of Anoka,A,Bundled,O,MN,Municipal,MISO,"8,774.7","76,685","10,442","8,789.7","96,762","1,292","8,034.3","104,417",18,.,.,.,"25,598.7","277,864","11,752"
2013,694,Anza Electric Coop Inc,A,Bundled,O,CA,Cooperative,WALC,"6,442.4","36,223","4,162","2,146.0","11,782",314,0.0,0,0,.,.,.,"8,588.4","48,005","4,476"
2013,719,Town of Apex- (NC),A,Bundled,O,NC,Municipal,CPLE,"18,074.8","153,337","14,204","9,325.3","94,514","1,273",.,.,.,.,.,.,"27,400.1","247,851","15,477"
2013,727,Appalachian Electric Coop,A,Bundled,O,TN,Cooperative,TVA,"65,389.0","609,840","38,837","25,780.0","238,669","6,202","4,826.0","72,003",5,0.0,0,0,"95,995.0","920,512","45,044"
2013,733,Appalachian Power Co,A,Bundled,O,VA,Investor Owned,PJM,"690,064.0","6,297,314","447,428","355,151.0","4,011,928","74,664","371,445.0","5,474,203","1,906",0.0,0,0,"1,416,660.0","15,783,445","523,998"
2013,733,Appalachian Power Co,A,Bundled,O,WV,Investor Owned,PJM,"529,585.0","5,616,869","366,586","305,866.0","3,650,678","66,330","325,691.0","4,918,677","2,386",0.0,0,0,"1,161,142.0","14,186,224","435,302"
2013,750,Arab Electric Coop Inc,A,Bundled,O,AL,Cooperative,TVA,"20,141.0","194,082","12,344","11,260.0","105,994","2,785",420.0,"4,732",1,0.0,0,0,"31,821.0","304,808","15,130"
2013,803,Arizona Public Service Co,A,Bundled,O,AZ,Investor Owned,AZPS,"1,672,833.0","13,290,096","1,019,292","1,375,031.0","12,594,486","124,469","181,069.0","2,203,023","3,701",.,.,.,"3,228,933.0","28,087,605","1,147,462"
2013,814,Entergy Arkansas Inc,A,Bundled,O,AR,Investor Owned,MISO,"764,681.2","7,921,074","585,377","484,389.7","6,169,123","90,724","429,601.5","6,768,830","22,998",10.3,103,1,"1,678,682.7","20,859,130","699,100"
2013,814,Entergy Arkansas Inc,A,Bundled,O,TN,Investor Owned,MISO,0.4,4,1,2.3,18,3,1.5,10,3,0.0,0,0,4.2,32,7
2013,817,Arkansas Valley Elec Coop Corp,A,Bundled,O,AR,Cooperative,CSWS,"73,163.9","742,929","49,424","14,465.3","162,076","3,569","12,876.8","239,878",17,0.0,0,0,"100,506.0","1,144,883","53,010"
2013,817,Arkansas Valley Elec Coop Corp,A,Bundled,O,OK,Cooperative,CSWS,"5,425.1","58,231","4,005","2,253.5","27,986",485,0.0,0,0,0.0,0,0,"7,678.6","86,217","4,490"
2013,828,City of Arlington - (MN),A,Bundled,O,MN,Municipal,MISO,769.7,"8,546",971,966.0,"10,652",158,.,.,.,.,.,.,"1,735.7","19,198","1,129"
2013,887,"Arrowhead Electric Coop, Inc",A,Bundled,O,MN,Cooperative,MISO,"5,900.0","43,000","3,670","2,700.0","26,000",424,.,.,.,.,.,.,"8,600.0","69,000","4,094"
2013,907,City of Ashland - (OR),A,Bundled,O,OR,Municipal,PACW,"6,980.0","93,603","9,602","6,333.0","83,236","1,515",.,.,.,.,.,.,"13,313.0","176,839","11,117"
2013,918,City of Aspen- (CO),A,Bundled,O,CO,Municipal,PSCO,"2,387.1","23,235","1,937","4,348.9","45,397","1,029",.,.,.,.,.,.,"6,736.0","68,632","2,966"
2013,942,Atchison-Holt Electric Coop,A,Bundled,O,IA,Cooperative,AECI,"1,331.0","10,330","1,014",559.0,"5,526",85,127.0,890,50,.,.,.,"2,017.0","16,746","1,149"
2013,942,Atchison-Holt Electric Coop,A,Bundled,O,MO,Cooperative,AECI,"3,197.0","26,311","2,252","1,344.0","14,208",190,"1,930.0","27,678",116,.,.,.,"6,471.0","68,197","2,558"
2013,944,City of Athens - (AL),A,Bundled,O,AL,Municipal,TVA,"58,184.0","618,372","36,244","31,142.0","310,085","6,617","6,524.0","85,002",8,0.0,0,0,"95,850.0","1,013,459","42,869"
2013,947,Athens Utility Board,A,Bundled,O,TN,Municipal,TVA,"15,238.0","156,908","10,897","17,195.0","178,968","2,263","15,794.0","256,995",8,0.0,0,0,"48,227.0","592,871","13,168"
